Location,Environment,Lead_Time_h,Valid_Time,Valid_Time_Str,Observed,IFS,AIFS_Single,AIFS_Ens_Mean,AIFS_Ens_Std,AIFS_Ens_Members
Shannon_Airport,onshore,6,2026-01-28 06:00:00,2026-01-28 06:00,4.984725880339214,5.2507453,4.6623936,4.981256523500764,0.5690270074448294,51
Shannon_Airport,onshore,12,2026-01-28 12:00:00,2026-01-28 12:00,4.984725880339214,6.831476,7.0665836,6.995961965610368,0.0,1
Shannon_Airport,onshore,24,2026-01-29 00:00:00,2026-01-29 00:00,4.984725880339214,5.7802267,4.7166266,5.6620528401956784,0.0,1
Cork_Airport,onshore,6,2026-01-28 06:00:00,2026-01-28 06:00,5.329330354362492,5.565408,5.225201,5.1066784175165685,0.6362755429589545,51
Cork_Airport,onshore,12,2026-01-28 12:00:00,2026-01-28 12:00,5.329330354362492,9.146361,9.4003725,10.44508710491691,0.0,1
Cork_Airport,onshore,24,2026-01-29 00:00:00,2026-01-29 00:00,5.329330354362492,5.346391,5.2431455,4.816186348073299,0.0,1
Malin_Head,coastal,6,2026-01-28 06:00:00,2026-01-28 06:00,7.866067767378982,5.542955,5.640753,4.994660828160692,0.7656197236333152,51
Malin_Head,coastal,12,2026-01-28 12:00:00,2026-01-28 12:00,7.866067767378982,8.505784,7.4101543,6.328605995793782,0.0,1
Malin_Head,coastal,24,2026-01-29 00:00:00,2026-01-29 00:00,7.866067767378982,5.195899,5.40375,4.604571720672632,0.0,1
Valentia,coastal,6,2026-01-28 06:00:00,2026-01-28 06:00,5.322039353945621,8.801339,7.681099,7.347334893158197,0.9204518679479005,51
Valentia,coastal,12,2026-01-28 12:00:00,2026-01-28 12:00,5.322039353945621,10.856193,10.474197,10.39152646825779,0.0,1
Valentia,coastal,24,2026-01-29 00:00:00,2026-01-29 00:00,5.322039353945621,7.6124525,6.506735,5.812932465320473,0.0,1
Mace_Head,coastal,6,2026-01-28 06:00:00,2026-01-28 06:00,7.478815309464495,13.387017,10.634142,11.16370099169578,0.9275966387016085,51
Mace_Head,coastal,12,2026-01-28 12:00:00,2026-01-28 12:00,7.478815309464495,16.5049,13.0921135,13.314161445278287,0.0,1
Mace_Head,coastal,24,2026-01-29 00:00:00,2026-01-29 00:00,7.478815309464495,13.104568,10.417998,9.783599504517333,0.0,1
Sherkin_Island,coastal,6,2026-01-28 06:00:00,2026-01-28 06:00,6.383045459111909,8.597949,6.6409426,6.277584842547889,0.8316862747492527,51
Sherkin_Island,coastal,12,2026-01-28 12:00:00,2026-01-28 12:00,6.383045459111909,11.830633,9.66163,10.090966310019125,0.0,1
Sherkin_Island,coastal,24,2026-01-29 00:00:00,2026-01-29 00:00,6.383045459111909,9.038894,6.6029453,5.358515429006422,0.0,1
M2_Buoy,offshore,6,2026-01-28 06:00:00,2026-01-28 06:00,13.765936524219178,6.2888904,7.4271593,6.97282910163334,0.4852449674859169,51
M2_Buoy,offshore,12,2026-01-28 12:00:00,2026-01-28 12:00,13.765936524219178,11.898595,11.948789,11.376135745601333,0.0,1
M2_Buoy,offshore,24,2026-01-29 00:00:00,2026-01-29 00:00,13.765936524219178,10.098743,9.389283,10.288233026454426,0.0,1
M3_Buoy,offshore,6,2026-01-28 06:00:00,2026-01-28 06:00,8.47451460761111,12.438025,11.672302,11.155175463422712,0.43974281758823697,51
M3_Buoy,offshore,12,2026-01-28 12:00:00,2026-01-28 12:00,8.47451460761111,14.551068,15.100626,14.853963694764042,0.0,1
M3_Buoy,offshore,24,2026-01-29 00:00:00,2026-01-29 00:00,8.47451460761111,11.058153,10.660713,9.653033026427744,0.0,1
M4_Buoy,offshore,6,2026-01-28 06:00:00,2026-01-28 06:00,12.76787992832877,14.57203,13.373618,13.166331813204415,0.7754729597710021,51
M4_Buoy,offshore,12,2026-01-28 12:00:00,2026-01-28 12:00,12.76787992832877,18.50033,15.2054825,16.61855913089248,0.0,1
M4_Buoy,offshore,24,2026-01-29 00:00:00,2026-01-29 00:00,12.76787992832877,9.189029,9.924884,11.042452354678067,0.0,1
M5_Buoy,offshore,6,2026-01-28 06:00:00,2026-01-28 06:00,10.0769933775,6.7484255,5.8979053,5.914223761040236,0.5616505684931946,51
M5_Buoy,offshore,12,2026-01-28 12:00:00,2026-01-28 12:00,10.0769933775,11.529909,11.2213335,11.566427365218336,0.0,1
M5_Buoy,offshore,24,2026-01-29 00:00:00,2026-01-29 00:00,10.0769933775,11.358107,10.015988,9.159251912487573,0.0,1
M6_Buoy,offshore,6,2026-01-28 06:00:00,2026-01-28 06:00,9.955590043118645,11.60092,11.266282,11.23009490526892,1.290221732125173,51
M6_Buoy,offshore,12,2026-01-28 12:00:00,2026-01-28 12:00,9.955590043118645,11.787177,11.334493,11.565774561944496,0.0,1
M6_Buoy,offshore,24,2026-01-29 00:00:00,2026-01-29 00:00,9.955590043118645,11.835328,11.8078165,10.866890599702511,0.0,1
