,name,type,lat,lon,IFS_F006h,IFS_F012h,IFS_F024h,AIFS Single_F006h,AIFS Single_F012h,AIFS Single_F024h
Phoenix_Park,"Phoenix Park, Dublin",onshore,53.3638,-6.3436,3.0123715,5.2847247,6.8196926,3.9610279,6.4707894,5.450788
Shannon_Airport,Shannon Airport,onshore,52.7019,-8.9248,5.2507453,6.831476,5.7802267,4.6623936,7.0665836,4.7166266
Cork_Airport,Cork Airport,onshore,51.8413,-8.4911,5.565408,9.146361,5.346391,5.225201,9.4003725,5.2431455
Malin_Head,"Malin Head, Donegal",coastal,55.3697,-7.3386,5.542955,8.505784,5.195899,5.640753,7.4101543,5.40375
Valentia,"Valentia Observatory, Kerry",coastal,51.9386,-10.2431,8.801339,10.856193,7.6124525,7.681099,10.474197,6.506735
Mace_Head,"Mace Head, Galway",coastal,53.3264,-9.9039,13.387017,16.5049,13.104568,10.634142,13.0921135,10.417998
Sherkin_Island,"Sherkin Island, Cork",coastal,51.4786,-9.4283,8.597949,11.830633,9.038894,6.6409426,9.66163,6.6029453
M2_Buoy,M2 Buoy (Irish Sea),offshore,53.49,-5.43,6.2888904,11.898595,10.098743,7.4271593,11.948789,9.389283
M3_Buoy,M3 Buoy (Atlantic),offshore,53.23,-11.2,14.957062,9.3284025,12.087906,14.134298,11.297589,11.970226
M4_Buoy,M4 Buoy (Celtic Sea),offshore,51.22,-6.7,4.382981,10.806701,10.410107,4.5556536,10.521036,9.931679
M5_Buoy,M5 Buoy (Irish Sea),offshore,53.07,-6.7,3.3697362,7.0434346,4.2845373,3.2313015,6.3138127,3.991249
M6_Buoy,M6 Buoy (Southwest Approaches),offshore,51.69,-10.55,12.836465,14.06676,11.296246,11.801137,14.530926,10.229045
