Environment,Model,Lead Time (h),Mean WS (m/s),Std Dev,Min,Max,N
Onshore,IFS,6,4.609508355458577,1.3920803481513653,3.01237154006958,5.565408229827881,3
Onshore,IFS,12,7.087520758310954,1.943509323278299,5.284724712371826,9.146361351013184,3
Onshore,IFS,24,5.98210350672404,0.7571128999267861,5.346391201019287,6.819692611694336,3
Onshore,AIFS Single,6,4.616207520167033,0.6333509114866961,3.9610278606414795,5.22520112991333,3
Onshore,AIFS Single,12,7.645915190378825,1.5483323398325126,6.470789432525635,9.400372505187988,3
Onshore,AIFS Single,24,5.136853377024333,0.37844647965432593,4.7166266441345215,5.4507880210876465,3
Coastal,IFS,6,9.08231508731842,3.2337330877682056,5.542954921722412,13.387017250061035,4
Coastal,IFS,12,11.92437744140625,3.3574680173823332,8.505784034729004,16.504899978637695,4
Coastal,IFS,24,8.737953186035156,3.315156384884028,5.19589900970459,13.104567527770996,4
Coastal,AIFS Single,6,7.649234056472778,2.1572620795181727,5.640752792358398,10.63414192199707,4
Coastal,AIFS Single,12,10.159523725509644,2.345636570042942,7.410154342651367,13.092113494873047,4
Coastal,AIFS Single,24,7.23285710811615,2.192015808240498,5.403749942779541,10.417998313903809,4
Offshore,IFS,6,8.367026805877686,5.209813442799352,3.3697361946105957,14.957061767578125,5
Offshore,IFS,12,10.628778553009033,2.646198950797894,7.0434346199035645,14.066760063171387,5
Offshore,IFS,24,9.635507774353027,3.0911074914649563,4.284537315368652,12.087905883789062,5
Offshore,AIFS Single,6,8.229909944534302,4.65687983008123,3.2313015460968018,14.134298324584961,5
Offshore,AIFS Single,12,10.922430515289307,2.98395158680784,6.313812732696533,14.530925750732422,5
Offshore,AIFS Single,24,9.102296447753906,3.016107808437054,3.9912490844726562,11.970226287841797,5
