Location,Environment,Lead_Time_h,Observed,IFS,AIFS_Single,AIFS_Ens_Mean,AIFS_Ens_Std,AIFS_Ens_Min,AIFS_Ens_Max,AIFS_Ens_Members
Shannon_Airport,onshore,6,4.984725880339218,5.2507453,4.6623936,4.981256523500764,0.5690270074448294,3.947254673753895,6.419878323177284,51
Shannon_Airport,onshore,12,4.984725880339218,6.831476,7.0665836,6.995961965610368,0.0,6.995961965610368,6.995961965610368,1
Shannon_Airport,onshore,24,4.984725880339218,5.7802267,4.7166266,5.6620528401956784,0.0,5.6620528401956784,5.6620528401956784,1
Cork_Airport,onshore,6,5.329330354362494,5.565408,5.225201,5.1066784175165685,0.6362755429589545,2.8895378051510288,6.178745962213004,51
Cork_Airport,onshore,12,5.329330354362494,9.146361,9.4003725,10.44508710491691,0.0,10.44508710491691,10.44508710491691,1
Cork_Airport,onshore,24,5.329330354362494,5.346391,5.2431455,4.816186348073299,0.0,4.816186348073299,4.816186348073299,1
Malin_Head,coastal,6,7.86606776737898,5.542955,5.640753,4.994660828160692,0.7656197236333152,3.2900717153345354,6.836100893976279,51
Malin_Head,coastal,12,7.86606776737898,8.505784,7.4101543,6.328605995793782,0.0,6.328605995793782,6.328605995793782,1
Malin_Head,coastal,24,7.86606776737898,5.195899,5.40375,4.604571720672632,0.0,4.604571720672632,4.604571720672632,1
Valentia,coastal,6,5.32203935394562,8.801339,7.681099,7.347334893158197,0.9204518679479005,5.860055114957962,9.517789338115534,51
Valentia,coastal,12,5.32203935394562,10.856193,10.474197,10.39152646825779,0.0,10.39152646825779,10.39152646825779,1
Valentia,coastal,24,5.32203935394562,7.6124525,6.506735,5.812932465320473,0.0,5.812932465320473,5.812932465320473,1
Mace_Head,coastal,6,7.478815309464497,13.387017,10.634142,11.16370099169578,0.9275966387016085,8.899327786350304,12.751971891975385,51
Mace_Head,coastal,12,7.478815309464497,16.5049,13.0921135,13.314161445278287,0.0,13.314161445278287,13.314161445278287,1
Mace_Head,coastal,24,7.478815309464497,13.104568,10.417998,9.783599504517333,0.0,9.783599504517333,9.783599504517333,1
Sherkin_Island,coastal,6,6.383045459111909,8.597949,6.6409426,6.277584842547889,0.8316862747492527,4.507219500665663,7.998781924355711,51
Sherkin_Island,coastal,12,6.383045459111909,11.830633,9.66163,10.090966310019125,0.0,10.090966310019125,10.090966310019125,1
Sherkin_Island,coastal,24,6.383045459111909,9.038894,6.6029453,5.358515429006422,0.0,5.358515429006422,5.358515429006422,1
M2_Buoy,offshore,6,13.765936524219178,6.2888904,7.4271593,6.97282910163334,0.4852449674859169,5.880168069428662,8.238579752700073,51
M2_Buoy,offshore,12,13.765936524219178,11.898595,11.948789,11.376135745601333,0.0,11.376135745601333,11.376135745601333,1
M2_Buoy,offshore,24,13.765936524219178,10.098743,9.389283,10.288233026454426,0.0,10.288233026454426,10.288233026454426,1
M3_Buoy,offshore,6,8.47451460761111,12.438025,11.672302,11.155175463422712,0.43974281758823697,9.75493019052347,12.01532740039033,51
M3_Buoy,offshore,12,8.47451460761111,14.551068,15.100626,14.853963694764042,0.0,14.853963694764042,14.853963694764042,1
M3_Buoy,offshore,24,8.47451460761111,11.058153,10.660713,9.653033026427744,0.0,9.653033026427744,9.653033026427744,1
M4_Buoy,offshore,6,12.76787992832877,14.57203,13.373618,13.166331813204415,0.7754729597710021,11.412076810763056,14.775799819248892,51
M4_Buoy,offshore,12,12.76787992832877,18.50033,15.2054825,16.61855913089248,0.0,16.61855913089248,16.61855913089248,1
M4_Buoy,offshore,24,12.76787992832877,9.189029,9.924884,11.042452354678067,0.0,11.042452354678067,11.042452354678067,1
M5_Buoy,offshore,6,10.0769933775,6.7484255,5.8979053,5.914223761040236,0.5616505684931946,4.66728858937677,7.1846981418977185,51
M5_Buoy,offshore,12,10.0769933775,11.529909,11.2213335,11.566427365218336,0.0,11.566427365218336,11.566427365218336,1
M5_Buoy,offshore,24,10.0769933775,11.358107,10.015988,9.159251912487573,0.0,9.159251912487573,9.159251912487573,1
M6_Buoy,offshore,6,9.955590043118645,11.60092,11.266282,11.23009490526892,1.290221732125173,8.971138245287314,14.346434134977418,51
M6_Buoy,offshore,12,9.955590043118645,11.787177,11.334493,11.565774561944496,0.0,11.565774561944496,11.565774561944496,1
M6_Buoy,offshore,24,9.955590043118645,11.835328,11.8078165,10.866890599702511,0.0,10.866890599702511,10.866890599702511,1
